problem type;benchmark set;filename;number of orders;capacity;random seed;policy;opt?;UB;LB;time [s]
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-1.txt;20;60;1;traversal;false;2.107;2.053,25;2625,73
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt;20;60;2;optimal;true;1.903;1.903;577,48
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt;20;60;2;largest_gap;true;2.073;2.073;30,586
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt;20;60;2;traversal;true;2.079;2.079;915,581
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-3.txt;20;60;3;optimal;true;1.744;1.744;170,048
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-3.txt;20;60;3;largest_gap;true;1.899;1.899;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-3.txt;20;60;3;traversal;true;1.927;1.926,53;2406,23
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-4.txt;20;60;4;optimal;false;1.848;1.816,16;73,042
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-4.txt;20;60;4;largest_gap;false;2.015;2.000,40;3334,45
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-4.txt;20;60;4;traversal;false;1.981;1.966,67;2060,73
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-5.txt;20;60;5;optimal;true;1.878;1.877,69;53,675
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-5.txt;20;60;5;largest_gap;true;2.048;2.047,68;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-5.txt;20;60;5;traversal;true;2.081;2.080,56;3285,64
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-6.txt;20;60;6;optimal;true;1.777;1.776,75;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-6.txt;20;60;6;largest_gap;true;1.930;1.929,54;3600
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-6.txt;20;60;6;traversal;true;2.066;2.065,58;19,998
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-7.txt;20;60;7;optimal;true;1.784;1.784;24,6
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-7.txt;20;60;7;largest_gap;true;1.980;1.980;95,812
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-7.txt;20;60;7;traversal;true;1.965;1.964,56;12,004
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-8.txt;20;60;8;optimal;true;1.980;1.979,89;4,468
OrderBatching;HENN;Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-8.txt;20;60;8;largest_gap;true;2.142;2.141,62;12,036
