;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
24;200;4;5470.4;True;5470.4;3420.96;5482.8;120;5470.4;120;6641.8;True;6641.8;664.97;6644.8;120;6647;120;5468.2;True;5468.2;322.5;5472.8;78.09;5472.2;120;5322.6;False;5320.33;TL;5332;120;5337.2;120;5178.2;True;5178.2;2530.28;5194.8;120;5182.2;120;5045.6;True;5045.6;3309.72;5050.4;120;5053.4;120
24;200;5;5431.2;True;5431.2;3347.47;5431.2;19.34;5431.2;120;6489.4;True;6489.4;1326.73;6563.2;120;6496.4;120;5505.2;True;5505.2;1252.71;5528;120;5508.4;120;5337.2;True;5337.2;1062.6;5366.4;120;5343.4;120;5177;False;5176.2;TL;5178;120;5188.8;120;5043.2;False;5041.99;TL;5132.2;120;5048.2;120
24;200;6;5447.6;True;5447.6;2956.27;5447.6;90.13;5457.6;120;6695.4;True;6695.4;1381.04;6699.2;120;6699.2;120;5562;True;5562;1987.82;5575.8;120;5568.8;120;5373;True;5373;809.03;5379.2;120;5383;120;5210.6;True;5210.6;1352.33;5238.6;120;5219.4;120;5097.8;False;5095.65;TL;5126.2;120;5097.8;120
24;200;7;5478.8;True;5478.8;221.37;5480.8;83.9;5479.8;120;6587.4;True;6587.4;697.68;6591.4;90.68;6587.4;120;5520.2;True;5520.2;3033.77;5529;120;5523.2;120;5326.4;True;5326.4;1803.7;5362.2;120;5340;120;5161.4;True;5161.4;164.6;5162.4;76.97;5161.4;107.89;5042.2;True;5042.2;96.54;5091.6;120;5042.2;120
24;200;8;5437;False;5435.31;TL;5444.6;120;5446;120;6532.4;True;6532.4;410.86;6534.2;114.77;6532.4;120;5435;False;5432.72;TL;5464.6;120;5440.8;120;5283.2;True;5283.2;2870.76;5291.4;120;5294;120;5155.2;False;5151.66;TL;5197.8;120;5172;120;5030.2;False;5025.68;TL;5059;120;5034.8;120
24;200;9;5443.6;True;5443.6;3096.42;5465.6;120;5452.6;120;6671.2;False;6670.68;TL;6681.2;120;6680;120;5432;True;5432;2730.17;5443.2;120;5437;120;5285.6;False;5282.84;TL;5287.6;120;5309.4;120;5178.2;False;5177.95;TL;5194;120;5187;120;5029.4;False;5027.13;TL;5032;120;5032.6;120
24;200;10;5460;False;5459.59;TL;5461;61.69;5464.4;120;6515.4;True;6515.4;409.11;6537.4;120;6517.2;120;5473.4;True;5473.4;348.18;5473.4;112.66;5474.4;120;5309.8;True;5309.8;936.19;5335.2;120;5316.2;120;5186.6;False;5186.15;TL;5211.6;120;5202.2;120;5071;False;5066.62;TL;5111.2;120;5076.2;120
24;250;1;6774.8;False;6771.21;TL;6791.6;120;6854.2;120;8131.2;True;8131.2;500.58;8137.6;120;8153.6;120;6767.6;False;6755.44;TL;6780.6;120;6852.4;120;6540.8;False;6538.38;TL;6549.8;120;6561.8;120;6436;False;6432.01;TL;6504;120;6451.2;120;6241.6;False;6236.07;TL;6372;120;7027.4;120
24;250;2;6727.2;False;6724.35;TL;6727.2;106.47;7826.2;120;8252.2;False;8239.04;TL;8299.6;120;8280.6;120;6869.2;False;6855.65;TL;6919.8;120;6906.8;120;6622.4;False;6611.94;TL;6663.8;120;6654;120;6430.8;False;6423.23;TL;6537.2;120;6515.4;120;6296.8;False;6290.16;TL;6342.6;120;6344.4;120
24;250;3;6680.6;False;6679.47;TL;6682;89.64;6682;120;8144.6;False;8134.81;TL;8246;120;8167;120;6678;False;6673.49;TL;6697;120;6705;120;6508;False;6501.26;TL;6543.2;120;6552.2;120;6319.6;False;6317.57;TL;6369.6;120;6371.8;120;6182.4;False;6175.47;TL;6226.2;120;6204.8;120
