;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
24;40;7;1340.2;True;1340.20;0.06;1340.2;0.06;1340.2;0.07;1578.0;True;1578.00;0.55;1578.0;0.23;1578.0;0.23;1343.6;True;1343.60;2.06;1344.6;0.23;1343.6;0.81;1273.6;True;1273.60;0.07;1273.6;0.07;1273.6;0.07;1258.4;True;1258.40;2.04;1258.6;0.40;1258.4;0.66;1210.4;True;1210.40;0.95;1211.4;0.48;1210.4;0.54
24;40;8;1260.0;True;1260.00;66.07;1260.0;0.86;1260.0;82.68;1534.0;True;1534.00;6.66;1535.0;0.55;1534.0;2.08;1212.4;True;1212.40;0.62;1213.4;0.21;1212.4;0.25;1172.6;True;1172.60;0.49;1172.6;0.25;1172.6;0.19;1154.6;True;1154.60;1.47;1154.6;0.36;1154.6;0.74;1113.4;True;1113.40;0.30;1114.8;0.25;1113.4;0.17
24;40;9;1241.0;True;1241.00;2.55;1241.0;1.08;1241.0;0.75;1464.6;True;1464.60;2.52;1464.6;0.64;1464.6;1.49;1185.6;True;1185.60;4.83;1186.6;0.82;1185.6;3.24;1140.2;True;1140.20;4.91;1140.4;0.72;1140.2;2.01;1147.2;True;1147.20;18.51;1147.2;1.90;1147.2;9.39;1081.4;True;1081.40;1.20;1081.4;1.01;1081.4;0.80
24;40;10;1340.8;True;1340.80;3.60;1344.2;0.98;1340.8;1.62;1578.6;True;1578.60;0.09;1578.6;0.10;1578.6;0.10;1320.6;True;1320.60;5.91;1320.6;1.35;1320.6;2.04;1279.6;True;1279.60;13.84;1279.6;0.93;1279.6;7.91;1252.6;True;1252.60;5.80;1252.6;0.57;1252.6;3.41;1203.6;True;1203.60;4.72;1204.2;0.89;1203.6;2.35
24;50;1;1676.2;True;1676.20;4.86;1676.4;0.53;1676.2;2.18;2040.4;True;2040.40;0.50;2040.4;0.29;2040.4;0.25;1617.0;True;1617.00;1.06;1617.0;0.45;1617.0;0.43;1573.2;True;1573.20;0.51;1573.2;0.33;1573.2;0.30;1562.6;True;1562.60;3.81;1562.6;0.39;1562.6;1.53;1494.4;True;1494.40;6.12;1495.4;0.63;1494.4;7.07
24;50;2;1442.6;True;1442.60;11.43;1442.6;1.77;1442.6;8.66;1792.0;True;1792.00;62.57;1794.6;2.54;1792.0;33.48;1478.4;True;1478.40;7.92;1479.4;2.40;1478.4;3.77;1407.2;True;1407.20;25.36;1412.4;2.71;1407.2;19.00;1382.6;True;1382.60;6.33;1386.4;2.22;1382.6;3.64;1323.4;True;1323.40;18.21;1324.0;2.67;1323.4;10.13
24;50;3;1605.2;True;1605.20;7.16;1605.2;0.50;1605.2;2.93;1980.2;True;1980.20;13.06;1981.2;1.21;1980.2;3.14;1611.6;True;1611.60;3.01;1614.8;1.46;1611.6;0.95;1547.6;True;1547.60;4.24;1550.4;1.66;1547.6;2.31;1506.6;True;1506.60;1.50;1506.6;0.25;1506.6;0.36;1443.4;True;1443.40;1.65;1448.4;0.44;1443.4;0.79
24;50;4;1662.4;True;1662.40;6.56;1665.2;1.72;1662.4;3.71;2001.2;True;2001.20;5.61;2005.4;1.12;2001.2;2.96;1669.6;True;1669.60;3.39;1669.6;0.50;1669.6;1.16;1607.6;True;1607.60;8.55;1609.6;1.25;1607.6;2.59;1555.6;True;1555.60;6.19;1558.6;1.10;1555.6;4.33;1500.4;True;1500.40;1.69;1500.4;0.44;1500.4;0.69
24;50;5;1729.6;True;1729.60;8.54;1733.2;1.04;1729.6;5.41;2067.4;True;2067.40;2.75;2067.4;0.42;2067.4;0.53;1735.8;True;1735.80;1.03;1735.8;0.28;1735.8;0.20;1680.2;True;1680.20;2.08;1681.2;0.73;1680.2;1.05;1632.8;True;1632.80;4.78;1633.8;1.01;1632.8;2.12;1561.4;True;1561.40;1.15;1561.4;0.42;1561.4;0.53
24;50;6;1607.6;True;1607.60;8.40;1611.6;2.74;1607.6;2.33;1886.6;True;1886.60;4.81;1891.6;1.61;1886.6;3.32;1634.0;True;1634.00;0.59;1634.0;0.23;1634.0;0.28;1568.6;True;1568.60;7.11;1569.6;1.11;1568.6;2.35;1514.4;True;1514.40;29.53;1516.8;1.48;1514.4;22.10;1464.8;True;1464.80;12.36;1467.6;1.17;1464.8;7.07
24;50;7;1420.0;True;1420.00;44.78;1422.0;2.91;1420.0;63.72;1699.0;True;1699.00;2.16;1699.0;1.54;1699.0;0.98;1366.4;True;1366.40;5.73;1368.4;0.68;1366.4;2.85;1325.4;True;1325.40;6.75;1327.4;1.29;1325.4;1.86;1332.0;True;1332.00;5.75;1337.2;3.86;1332.0;4.20;1266.0;True;1266.00;8.03;1266.8;1.96;1266.0;4.66
24;50;8;1435.4;True;1435.40;10.03;1439.2;4.43;1435.4;7.05;1765.8;True;1765.80;32.81;1767.6;2.94;1765.8;27.31;1415.4;True;1415.40;2.38;1415.4;1.08;1415.4;1.11;1366.4;True;1366.40;10.89;1367.4;0.69;1366.4;2.89;1341.8;True;1341.80;3.66;1344.8;1.69;1341.8;0.63;1294.4;True;1294.40;2.01;1294.4;0.99;1294.4;0.69
24;50;9;1456.8;True;1456.80;36.13;1460.6;1.61;1456.8;55.09;1725.0;True;1725.00;2.59;1725.0;0.81;1725.0;1.12;1417.4;True;1417.40;0.18;1417.4;0.19;1417.4;0.35;1372.4;True;1372.40;4.45;1372.4;0.46;1372.4;1.50;1359.4;True;1359.40;17.96;1360.4;1.80;1359.4;5.09;1310.0;True;1310.00;9.72;1310.0;0.62;1310.0;3.93
24;50;10;1594.8;True;1594.80;10.57;1596.8;1.97;1594.8;14.83;1940.6;True;1940.60;3.01;1940.6;0.65;1940.6;0.70;1594.8;True;1594.80;5.03;1595.8;0.74;1594.8;2.31;1553.8;True;1553.80;11.25;1556.8;1.46;1553.8;3.91;1487.8;True;1487.80;12.00;1489.8;0.67;1487.8;10.65;1447.4;True;1447.40;2.15;1451.4;1.11;1447.4;0.98
24;60;1;1752.6;True;1752.60;7.22;1752.6;2.33;1752.6;9.17;2047.6;True;2047.60;4.26;2047.6;1.64;2047.6;1.69;1754.0;True;1754.00;3.25;1754.0;1.28;1754.0;1.74;1693.2;True;1693.20;7.72;1693.2;1.01;1693.2;4.25;1653.0;True;1653.00;14.86;1653.8;2.08;1653.0;13.57;1600.2;True;1600.20;6.83;1600.2;2.95;1600.2;3.61
24;60;2;1641.4;True;1641.40;18.52;1641.4;0.41;1641.4;24.17;2024.2;True;2024.20;3.41;2026.2;1.26;2024.2;1.87;1644.4;True;1644.40;2.71;1646.4;0.53;1644.4;0.91;1577.2;True;1577.20;1.20;1577.2;0.66;1577.2;0.55;1548.4;True;1548.40;2.81;1551.4;0.49;1548.4;1.71;1503.8;True;1503.80;4.79;1507.6;1.13;1503.8;2.72
24;60;3;1886.6;True;1886.60;39.96;1889.8;2.43;1886.6;80.41;2282.2;True;2282.20;2.24;2289.6;1.77;2282.2;0.64;1889.0;True;1889.00;3.60;1889.0;1.51;1889.0;1.11;1824.0;True;1824.00;5.04;1825.0;1.95;1824.0;1.69;1774.8;True;1774.80;11.37;1778.6;1.98;1774.8;4.91;1723.4;True;1723.40;7.42;1725.4;2.60;1723.4;4.53
